,name,acres,shore_miles,county
4498,Mills Pond,1.67330329,0.54213311,Hennepin
4499,,0.15998913,0.05851841,
4500,,0.29866356,0.08600189,
4501,,1.1522451,0.1703468,
4502,,6.52341234,0.62638461,
4503,,0.68278366,0.12142361,
4504,,0.37158331,0.10405039,
4505,,0.35986254,0.10366927,
4506,,0.12736198,0.05446807,
4507,,0.98981649,0.20842775,
4508,,0.20710021,0.06543435,
4509,,0.14424494,0.06049548,
4510,,0.12103332,0.05035698,
4511,,0.13279263,0.05296231,
4512,,0.41065029,0.11798508,
4513,,3.31786228,0.35527605,
4514,,3.45036378,0.34713399,
4515,,0.19233493,0.07674376,
4516,,0.22678505,0.0749394,
4517,,1.48475055,0.29928272,
4518,,0.38181029,0.09732758,
4519,,0.13483325,0.05525468,
4520,,0.20342415,0.06897401,
4521,,0.1376041,0.0574536,
4522,,0.19218016,0.06721095,
4523,,0.18291428,0.06972718,
4524,,0.23011179,0.0761923,
4525,,0.28598164,0.08325302,
4526,,0.80434679,0.17492968,
4527,,0.20141195,0.07038076,
4528,,2.18301918,0.4752087,
