,name,acres,shore_miles,county
6589,Unnamed,10.87904307,0.51518058,Cass
6590,Unnamed,10.06040538,0.7671163,Douglas
6591,Twin,10.63532937,0.66910504,Isanti
6592,Wood,11.9139362,1.38329763,Ramsey
6593,New,78.31180931,2.42035446,Itasca
6594,Gruenhagen,73.9722051,2.47003876,Carver
6595,Tamarack,44.41769087,1.03347432,Cass
6596,Unnamed,29.25891271,1.22390319,Beltrami
6597,Button,39.46651629,1.0632466,Beltrami
6598,Spindler,82.74440104,1.46398712,Becker
6599,Lee Marshes,18.29737242,0.81100389,Becker
6600,McCann,85.83522011,1.90251997,Anoka
6601,Black Shadow,22.36711966,1.03473205,Aitkin
6602,,12.26267642,1.12691439,
6603,Unnamed,94.81393471,3.73802829,Jackson
6604,Mud,81.44189438,1.75894308,Yellow Medicine
6605,Unnamed (Myhre),32.43871967,1.29158971,Polk
6606,Unnamed,14.9851379,0.84212634,St. Louis
6607,Long,33.74332893,1.1835488,Lake
6608,Unnamed,10.86815606,0.57476421,Otter Tail
6609,Half Moon,162.253903,4.06926526,St. Louis
6610,Grand,650.5371782,3.78146285,Stearns
6611,Moore,129.2963872,2.45395377,Stevens
6612,Temperance,166.047304,2.16332614,Martin
6613,Unnamed,24.40351426,1.5417967,Meeker
6614,Plum,72.39251559,1.36407865,Lake
6615,Besho,40.47584242,0.95455798,Lake
6616,Unnamed,12.49470284,0.63066421,Jackson
6617,Unnamed,20.42961057,0.94365264,Lincoln
6618,Vivian,13.24796802,0.99150044,Lake
6619,Marquette,527.5656661,5.5471621,Beltrami
6620,Unnamed,12.45436564,0.58673848,Anoka
6621,Unnamed,12.43880636,0.69632795,Big Stone
6622,Unnamed,21.69501909,1.21284043,Big Stone
6623,Elmo,256.8188565,4.14466019,Washington
6624,Mud,77.69211959,1.67145912,Wright
6625,Mary,349.3552935,3.61663373,Wright
6626,Pike,243.7380244,4.59371503,Pope
6627,South Fork,63.48061924,1.84242052,Itasca
6628,Little Hubert,193.9381512,2.45174428,Crow Wing
6629,Bill's,21.71009345,0.7340479,Itasca
6630,Otter,302.2142322,4.19642213,Anoka
6631,Fourth,58.36493969,1.76199799,Cass
6632,,27.44613151,0.89305499,
6633,Puchalski Pond,25.50546459,0.96932054,Grant
6634,Markham,229.1644816,3.68521143,St. Louis
